"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"45",0.2,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.68635381018408e-05
"46",0.2,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-0.000106355256614144
"47",0.2,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010270930768743
"48",0.2,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503890345227759
"49",0.3,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.26076798039344e-05
"50",0.3,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-5.52991911356186e-05
"51",0.3,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00102163958794662
"52",0.3,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504062538801684
"53",0.3,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.48053159774901e-05
"54",0.3,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-5.77454288964568e-05
"55",0.3,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00102186123163733
"56",0.3,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504051990381113
"57",0.3,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.80026430505035e-05
"58",0.3,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-6.13689900394001e-05
"59",0.3,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00102203960827614
"60",0.3,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503951392170431
"61",0.3,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.7915852650819e-05
"62",0.3,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-6.09016876903487e-05
"63",0.3,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010199859910911
"64",0.3,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503601974179818
"65",0.4,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.08319269477034e-05
"66",0.4,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-3.27214014721735e-05
"67",0.4,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010164805972356
"68",0.4,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504209834351458
"69",0.4,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.279603404827e-05
"70",0.4,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-3.48936788643632e-05
"71",0.4,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010168064395847
"72",0.4,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.0050421319598016
"73",0.4,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.60967454660218e-05
"74",0.4,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-3.83962023071765e-05
"75",0.4,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101711992755689
"76",0.4,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504110326498989
"77",0.4,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-3.61042331908346e-05
"78",0.4,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-3.82239360132329e-05
"79",0.4,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101470225716209
"80",0.4,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00503693792614085
"81",0.5,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.79157319882081e-05
"82",0.5,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-2.01880351937671e-05
"83",0.5,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101276421091447
"84",0.5,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504796918968457
"85",0.5,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.96523703074032e-05
"86",0.5,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-2.20544131595396e-05
"87",0.5,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101317629530608
"88",0.5,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504810871081086
"89",0.5,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-2.29204946162112e-05
"90",0.5,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-2.53089591226277e-05
"91",0.5,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101361963950388
"92",0.5,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504704849543213
"93",0.5,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-2.30619235565733e-05
"94",0.5,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-2.53487537087276e-05
"95",0.5,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101085721135945
"96",0.5,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00504240529111328
"97",0.6,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.93636407609817e-06
"98",0.6,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.31013092749152e-05
"99",0.6,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101031052446358
"100",0.6,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00506023608850877
"101",0.6,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.14277196483077e-05
"102",0.6,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.46536731066843e-05
"103",0.6,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.0010107752024581
"104",0.6,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00506033296489439
"105",0.6,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.45563235755192e-05
"106",0.6,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.75758621298701e-05
"107",0.6,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101132689463613
"108",0.6,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505915892190803
"109",0.6,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-1.48440153832846e-05
"110",0.6,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.77545423609744e-05
"111",0.6,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100825273035591
"112",0.6,0.001,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00505415022660032
"113",0.7,0.5,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-5.05511244527281e-06
"114",0.7,0.5,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-9.76207151361961e-06
"115",0.7,0.5,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100918924639526
"116",0.7,0.5,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.0050837886213937
"117",0.7,0.1,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-6.27454848741342e-06
"118",0.7,0.1,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.09755728309901e-05
"119",0.7,0.1,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100965936532745
"120",0.7,0.1,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00508379648095971
"121",0.7,0.01,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.16890477680213e-06
"122",0.7,0.01,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.34714402551162e-05
"123",0.7,0.01,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00101028113389008
"124",0.7,0.01,0.5,1e-05,1e-05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,-0.00508232649907023
"125",0.7,0.001,0.5,1e-05,1e-05,0,0.01,0,0.01,0,0.01,0,0.01,-9.60328651808401e-06
"126",0.7,0.001,0.5,1e-05,1e-05,0,0.05,0,0.05,0,0.05,0,0.05,-1.37250632562432e-05
"127",0.7,0.001,0.5,1e-05,1e-05,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,-0.00100694258764801
