"h","s","U","x","N","tBen","tFix"
0.1,0.01,0.02,0.2,500,447.5,446.779527559055
0.1,0.01,0.02,0.2,1000,660.033333333333,827
0.1,0.01,0.02,0.2,2000,611.59375,1178.9
0.1,0.01,0.02,0.2,3000,582.213740458015,1439.73333333333
0.1,0.01,0.02,0.2,4000,586.688,1938.9
0.1,0.01,0.02,0.2,5000,539.001945525292,2161.63333333333
