"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,1e+05,0.02,2,0.05,0.0079878
0.1,0.01,1e+05,0.02,2,0.1,0.0032218
0.1,0.01,1e+05,0.02,2,0.2,0.000505
0.1,0.01,1e+05,0.02,2,0.3,8.36e-05
0.1,0.01,1e+05,0.02,2,0.4,8.2e-06
0.1,0.01,1e+05,0.02,2,0.5,8e-07
0.1,0.01,1e+05,0.02,2,0.6,0
0.1,0.01,1e+05,0.02,2,0.7,4e-07
0.1,0.01,1e+05,0.02,2,0.8,2e-07
0.1,0.01,1e+05,0.02,2,0.9,0
0.1,0.01,1e+05,0.05,5,0.05,0.00202
0.1,0.01,1e+05,0.05,5,0.1,0.0001956
0.1,0.01,1e+05,0.05,5,0.2,1.4e-06
0.1,0.01,1e+05,0.05,5,0.3,4e-07
0.1,0.01,1e+05,0.05,5,0.4,2e-07
0.1,0.01,1e+05,0.05,5,0.5,0
0.1,0.01,1e+05,0.05,5,0.6,0
0.1,0.01,1e+05,0.05,5,0.7,0
0.1,0.01,1e+05,0.05,5,0.8,0
0.1,0.01,1e+05,0.05,5,0.9,2e-07
0.1,0.01,1e+05,0.1,10,0.05,0.0002186
0.1,0.01,1e+05,0.1,10,0.1,1.8e-06
0.1,0.01,1e+05,0.1,10,0.2,0
0.1,0.01,1e+05,0.1,10,0.3,0
0.1,0.01,1e+05,0.1,10,0.4,0
0.1,0.01,1e+05,0.1,10,0.5,0
0.1,0.01,1e+05,0.1,10,0.6,2e-07
0.1,0.01,1e+05,0.1,10,0.7,0
0.1,0.01,1e+05,0.1,10,0.8,0
0.1,0.01,1e+05,0.1,10,0.9,0
