"h","s","N","U","Ufac","x","PrFix"
0.25,0.01,10000,0.02,2,0.05,0.000228
0.25,0.01,10000,0.02,2,0.1,0.000184
0.25,0.01,10000,0.02,2,0.2,0.000172
0.25,0.01,10000,0.02,2,0.3,0.000104
0.25,0.01,10000,0.02,2,0.4,0.000146
0.25,0.01,10000,0.02,2,0.5,9.4e-05
0.25,0.01,10000,0.02,2,0.6,7.2e-05
0.25,0.01,10000,0.02,2,0.7,5.6e-05
0.25,0.01,10000,0.02,2,0.8,3.6e-05
0.25,0.01,10000,0.02,2,0.9,1e-05
0.25,0.01,10000,0.05,5,0.05,0.000214
0.25,0.01,10000,0.05,5,0.1,0.000166
0.25,0.01,10000,0.05,5,0.2,9e-05
0.25,0.01,10000,0.05,5,0.3,2.8e-05
0.25,0.01,10000,0.05,5,0.4,4e-06
0.25,0.01,10000,0.05,5,0.5,6e-06
0.25,0.01,10000,0.05,5,0.6,6e-06
0.25,0.01,10000,0.05,5,0.7,2e-06
0.25,0.01,10000,0.05,5,0.8,0
0.25,0.01,10000,0.05,5,0.9,4e-06
0.25,0.01,10000,0.1,10,0.05,0.000164
0.25,0.01,10000,0.1,10,0.1,8.6e-05
0.25,0.01,10000,0.1,10,0.2,6e-06
0.25,0.01,10000,0.1,10,0.3,2e-06
0.25,0.01,10000,0.1,10,0.4,0
0.25,0.01,10000,0.1,10,0.5,2e-06
0.25,0.01,10000,0.1,10,0.6,0
0.25,0.01,10000,0.1,10,0.7,0
0.25,0.01,10000,0.1,10,0.8,0
0.25,0.01,10000,0.1,10,0.9,2e-06
