"h","s","U","x","N","tBen","tFix"
0.1,0.01,0.02,0.5,500,603.566666666667,368.132075471698
0.1,0.01,0.02,0.5,1000,510,560.455696202532
0.1,0.01,0.02,0.5,2000,666.610169491525,923.466666666667
0.1,0.01,0.02,0.5,3000,523.25462962963,1075.76666666667
0.1,0.01,0.02,0.5,4000,442.040462427746,1216.33333333333
0.1,0.01,0.02,0.5,5000,438.388190954774,1322.06666666667
0.1,0.01,0.02,0.5,10000,363.698228882834,1835.46666666667
