"","beta","r","h","s","invSelAdv"
"99",0.6,0.001,0.1,0.01,-0.0010099070545004
"100",0.6,0.001,0.1,0.05,-0.00501895509561845
"101",0.6,0.01,0,0.01,-2.64348205607215e-05
"102",0.6,0.01,0,0.05,-2.57692382585825e-05
"103",0.6,0.01,0.1,0.01,-0.00101119208860422
"104",0.6,0.01,0.1,0.05,-0.00501812317344668
"105",0.6,0.1,0,0.01,-1.61978896518941e-05
"106",0.6,0.1,0,0.05,-1.6420124034626e-05
"107",0.6,0.1,0.1,0.01,-0.00100785930405847
"108",0.6,0.1,0.1,0.05,-0.00501494299424674
"109",0.6,0.5,0,0.01,-9.3500938516176e-06
"110",0.6,0.5,0,0.05,-9.78407589745589e-06
"111",0.6,0.5,0.1,0.01,-0.00100491692083279
"112",0.6,0.5,0.1,0.05,-0.00501311545594844
"113",0.7,0.001,0,0.01,-1.96887778047093e-05
"114",0.7,0.001,0,0.05,-1.80579560943024e-05
"115",0.7,0.001,0.1,0.01,-0.00100724725517064
"116",0.7,0.001,0.1,0.05,-0.00501605025877828
"117",0.7,0.01,0,0.01,-1.81078048770748e-05
"118",0.7,0.01,0,0.05,-1.68763910491405e-05
"119",0.7,0.01,0.1,0.01,-0.00100850042221088
"120",0.7,0.01,0.1,0.05,-0.00501517286398117
"121",0.7,0.1,0,0.01,-1.01062966622785e-05
"122",0.7,0.1,0,0.05,-1.02041453618519e-05
"123",0.7,0.1,0.1,0.01,-0.00100522096878239
"124",0.7,0.1,0.1,0.05,-0.00501242190018307
"125",0.7,0.5,0,0.01,-5.62465458954685e-06
"126",0.7,0.5,0,0.05,-5.97097882430671e-06
"127",0.7,0.5,0.1,0.01,-0.00100308609146265
"128",0.7,0.5,0.1,0.05,-0.00501107337949699
"129",0.8,0.001,0,0.01,-1.32679704520312e-05
"130",0.8,0.001,0,0.05,-1.09746745911209e-05
"131",0.8,0.001,0.1,0.01,-0.00100480024347359
"132",0.8,0.001,0.1,0.05,-0.00501333764037987
"133",0.8,0.01,0,0.01,-1.16580897412594e-05
"134",0.8,0.01,0,0.05,-1.00138081626506e-05
"135",0.8,0.01,0.1,0.01,-0.00100594417476098
"136",0.8,0.01,0.1,0.05,-0.00501239215705159
"137",0.8,0.1,0,0.01,-5.64842764197956e-06
"138",0.8,0.1,0,0.05,-5.73342880933521e-06
"139",0.8,0.1,0.1,0.01,-0.00100287896683273
"140",0.8,0.1,0.1,0.05,-0.00501028733473624
"141",0.8,0.5,0,0.01,-3.02464140214606e-06
"142",0.8,0.5,0,0.05,-3.34306528184895e-06
"143",0.8,0.5,0.1,0.01,-0.00100151438416881
"144",0.8,0.5,0.1,0.05,-0.00500958711977525
