"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.1,0,0.1,0,1.32011516453406e-05
"2",0,0.2,0,0.2,0,2.78018559335964e-05
"3",0,0.1,0,0.2,0,3.48364124420346e-05
"4",0,0.2,0,0.1,0,9.07896973568587e-06
"5",0.1,0.1,0,0.1,0,0.00136155641468674
"6",0.1,0.2,0,0.2,0,0.00268744998965157
"7",0.1,0.1,0,0.2,0,0.00370052995211294
"8",0.1,0.2,0,0.1,0,0.000876346387813137
"9",0.2,0.1,0,0.1,0,0.00293657289878096
"10",0.2,0.2,0,0.2,0,0.00564687562524397
"11",0.2,0.1,0,0.2,0,0.0079069845535333
"12",0.2,0.2,0,0.1,0,0.00183832268247845
"13",0.3,0.1,0,0.1,0,0.00478431364091541
"14",0.3,0.2,0,0.2,0,0.00909184552085155
"15",0.3,0.1,0,0.2,0,0.0129623090647815
"16",0.3,0.2,0,0.1,0,0.00289894318440522
"17",0.4,0.1,0,0.1,0,0.00703165330911596
"18",0.4,0.2,0,0.2,0,0.0131860051744604
"19",0.4,0.1,0,0.2,0,0.019179656965838
"20",0.4,0.2,0,0.1,0,0.00406758137751461
"21",0.5,0.1,0,0.1,0,0.00985128128571415
"22",0.5,0.2,0,0.2,0,0.0181858915533558
"23",0.5,0.1,0,0.2,0,0.0270462549595733
"24",0.5,0.2,0,0.1,0,0.00535538374231124
"25",0.6,0.1,0,0.1,0,0.0135482577239492
"26",0.6,0.2,0,0.2,0,0.0245245300305417
"27",0.6,0.1,0,0.2,0,0.0373429327379703
"28",0.6,0.2,0,0.1,0,0.00674272263560066
"29",0.7,0.1,0,0.1,0,0.0187284884743671
"30",0.7,0.2,0,0.2,0,0.0330064384105698
"31",0.7,0.1,0,0.2,0,0.0513653347407538
"32",0.7,0.2,0,0.1,0,0.00811845001395767
"33",0.8,0.1,0,0.1,0,0.0268111929848293
"34",0.8,0.2,0,0.2,0,0.0453304579746754
"35",0.8,0.1,0,0.2,0,0.0712881668528605
"36",0.8,0.2,0,0.1,0,0.0089161676031023
"37",0.9,0.1,0,0.1,0,0.0418056595965981
"38",0.9,0.2,0,0.2,0,0.0657505114816536
"39",0.9,0.1,0,0.2,0,0.100499491211633
"40",0.9,0.2,0,0.1,0,0.000556731948621258
