"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,2.23991909088574e-05
"2",0,0.1,0.1,0.1,0.1,0.000341028094322026
"3",0,0.05,0.05,0.1,0.1,8.60818549813606e-05
"4",0,0.1,0.1,0.05,0.05,2.21247490491032e-05
"5",0.1,0.05,0.05,0.05,0.05,0.000124926943017105
"6",0.1,0.1,0.1,0.1,0.1,0.000658259713690554
"7",0.1,0.05,0.05,0.1,0.1,0.00485230023014251
"8",0.1,0.1,0.1,0.05,0.05,-0.00335975429536782
"9",0.2,0.05,0.05,0.05,0.05,0.000250482682596586
"10",0.2,0.1,0.1,0.1,0.1,0.00108578830432152
"11",0.2,0.05,0.05,0.1,0.1,0.00828138601807669
"12",0.2,0.1,0.1,0.05,0.05,-0.00905435227334325
"13",0.3,0.05,0.05,0.05,0.05,0.000409153047064733
"14",0.3,0.1,0.1,0.1,0.1,0.00168720911285505
"15",0.3,0.05,0.05,0.1,0.1,0.0107251662455769
"16",0.3,0.1,0.1,0.05,0.05,-0.0141372317383287
"17",0.4,0.05,0.05,0.05,0.05,0.000618005957413326
"18",0.4,0.1,0.1,0.1,0.1,0.00242190530632032
"19",0.4,0.05,0.05,0.1,0.1,0.013226276736022
"20",0.4,0.1,0.1,0.05,0.05,-0.0200197085071738
"21",0.5,0.05,0.05,0.05,0.05,0.000908589292967695
"22",0.5,0.1,0.1,0.1,0.1,0.00287083804446744
"23",0.5,0.05,0.05,0.1,0.1,0.0156239028064027
"24",0.5,0.1,0.1,0.05,0.05,-0.0275375993840596
"25",0.6,0.05,0.05,0.05,0.05,0.00134708448906258
"26",0.6,0.1,0.1,0.1,0.1,0.00348221426290205
"27",0.6,0.05,0.05,0.1,0.1,0.0174751212154873
"28",0.6,0.1,0.1,0.05,0.05,-0.0363490189103598
"29",0.7,0.05,0.05,0.05,0.05,0.0021034643537819
"30",0.7,0.1,0.1,0.1,0.1,0.00443556622803363
"31",0.7,0.05,0.05,0.1,0.1,0.01889395081662
"32",0.7,0.1,0.1,0.05,0.05,-0.0453345837177964
"33",0.8,0.05,0.05,0.05,0.05,0.00349413652662598
"34",0.8,0.1,0.1,0.1,0.1,0.00624535697114884
"35",0.8,0.05,0.05,0.1,0.1,0.0201975290886253
"36",0.8,0.1,0.1,0.05,0.05,-0.0535350912323355
"37",0.9,0.05,0.05,0.05,0.05,0.00720724290174115
"38",0.9,0.1,0.1,0.1,0.1,0.0106992925799425
"39",0.9,0.05,0.05,0.1,0.1,0.0215535604784852
"40",0.9,0.1,0.1,0.05,0.05,-0.0601436733692894
