"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"42",0.2,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000591890922878951
"43",0.2,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250619687782828
"44",0.2,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125912018814167
"45",0.2,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000183074820371998
"46",0.2,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00058958755699127
"47",0.2,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250434989273253
"48",0.2,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125894224882329
"49",0.3,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000148079816591485
"50",0.3,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00055336943801925
"51",0.3,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250703860970775
"52",0.3,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126076181349711
"53",0.3,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000149804937093194
"54",0.3,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000555007484543072
"55",0.3,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250673838943794
"56",0.3,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126070180781915
"57",0.3,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000152275188145523
"58",0.3,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.00055724390544805
"59",0.3,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250607702821323
"60",0.3,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126051221575275
"61",0.3,0.001,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000151655678352926
"62",0.3,0.001,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000554765851849697
"63",0.3,0.001,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250386530093681
"64",0.3,0.001,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126028829703438
"65",0.4,0.5,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.00012959322914439
"66",0.4,0.5,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000534860605470855
"67",0.4,0.5,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739807611089
"68",0.4,0.5,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126277470654266
"69",0.4,0.1,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000131223136931235
"70",0.4,0.1,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000536451872382569
"71",0.4,0.1,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250709110822577
"72",0.4,0.1,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012627082273486
"73",0.4,0.01,0.5,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000133887421402237
"74",0.4,0.01,0.5,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000538778283575068
"75",0.4,0.01,0.5,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250634436103423
"76",0.4,0.01,0.5,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126247996196099
