"","beta","s","t","invSelAdv"
"1",0,0.1,0.1,0.00136512708235918
"2",0,0.2,0.2,0.00407160490702467
"3",0,0.1,0.2,0.00330142925990142
"4",0,0.2,0.1,0.00182793331220775
"5",0.1,0.1,0.1,0.00150945452845747
"6",0.1,0.2,0.2,0.0041742399456046
"7",0.1,0.1,0.2,0.00851802061594646
"8",0.1,0.2,0.1,-0.0485586706663387
"9",0.2,0.1,0.1,0.00167176967504966
"10",0.2,0.2,0.2,0.00428917217702242
"11",0.2,0.1,0.2,0.00875489839605085
"12",0.2,0.2,0.1,-0.0530982927566211
"13",0.3,0.1,0.1,0.00185754986654782
"14",0.3,0.2,0.2,0.00441453121393191
"15",0.3,0.1,0.2,0.00899377058715656
"16",0.3,0.2,0.1,-0.0578690118530833
"17",0.4,0.1,0.1,0.00207645803168588
"18",0.4,0.2,0.2,0.00455701071807965
"19",0.4,0.1,0.2,0.00923425714079355
"20",0.4,0.2,0.1,-0.0627130979370346
"21",0.5,0.1,0.1,0.00233651702044877
"22",0.5,0.2,0.2,0.00471122933099428
"23",0.5,0.1,0.2,0.00947948120663411
"24",0.5,0.2,0.1,-0.0673653676931664
"25",0.6,0.1,0.1,0.00265918874961387
"26",0.6,0.2,0.2,0.00489005986826341
"27",0.6,0.1,0.2,0.00974370978331539
"28",0.6,0.2,0.1,-0.0714423406491146
"29",0.7,0.1,0.1,0.00308432778039477
"30",0.7,0.2,0.2,0.00509789053182283
"31",0.7,0.1,0.2,0.0100597903475558
"32",0.7,0.2,0.1,-0.0743662454118852
"33",0.8,0.1,0.1,0.00370023441901909
"34",0.8,0.2,0.2,0.00535231487950648
"35",0.8,0.1,0.2,0.0104897125082468
"36",0.8,0.2,0.1,-0.0755170765416875
"37",0.9,0.1,0.1,0.00494596352094822
"38",0.9,0.2,0.2,0.00547480109960734
"39",0.9,0.1,0.2,0.0111281090928828
"40",0.9,0.2,0.1,-0.0755034013176041
