"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,1000,0.02,2,0.05,0.000322
0.1,0.01,1000,0.02,2,0.1,0.00021
0.1,0.01,1000,0.02,2,0.2,9.2e-05
0.1,0.01,1000,0.02,2,0.3,2.8e-05
0.1,0.01,1000,0.02,2,0.4,2e-06
0.1,0.01,1000,0.02,2,0.5,2e-06
0.1,0.01,1000,0.02,2,0.6,2e-06
0.1,0.01,1000,0.02,2,0.7,0
0.1,0.01,1000,0.02,2,0.8,0
0.1,0.01,1000,0.02,2,0.9,0
0.1,0.01,1000,0.05,5,0.05,0.00017
0.1,0.01,1000,0.05,5,0.1,4e-05
0.1,0.01,1000,0.05,5,0.2,2e-06
0.1,0.01,1000,0.05,5,0.3,0
0.1,0.01,1000,0.05,5,0.4,0
0.1,0.01,1000,0.05,5,0.5,0
0.1,0.01,1000,0.05,5,0.6,0
0.1,0.01,1000,0.05,5,0.7,0
0.1,0.01,1000,0.05,5,0.8,0
0.1,0.01,1000,0.05,5,0.9,0
0.1,0.01,1000,0.1,10,0.05,3.6e-05
0.1,0.01,1000,0.1,10,0.1,2e-06
0.1,0.01,1000,0.1,10,0.2,0
0.1,0.01,1000,0.1,10,0.3,0
0.1,0.01,1000,0.1,10,0.4,0
0.1,0.01,1000,0.1,10,0.5,0
0.1,0.01,1000,0.1,10,0.6,0
0.1,0.01,1000,0.1,10,0.7,0
0.1,0.01,1000,0.1,10,0.8,0
0.1,0.01,1000,0.1,10,0.9,0
0.1,0.01,10000,0.02,2,0.05,4.7e-05
0.1,0.01,10000,0.02,2,0.1,4.06e-05
0.1,0.01,10000,0.02,2,0.2,2.64e-05
0.1,0.01,10000,0.02,2,0.3,1.38e-05
0.1,0.01,10000,0.02,2,0.4,3.6e-06
0.1,0.01,10000,0.02,2,0.5,8e-07
0.1,0.01,10000,0.02,2,0.6,0
0.1,0.01,10000,0.02,2,0.7,0
0.1,0.01,10000,0.02,2,0.8,0
0.1,0.01,10000,0.02,2,0.9,0
0.1,0.01,10000,0.05,5,0.05,4.42e-05
0.1,0.01,10000,0.05,5,0.1,2.06e-05
0.1,0.01,10000,0.05,5,0.2,4e-07
0.1,0.01,10000,0.05,5,0.3,0
0.1,0.01,10000,0.05,5,0.4,0
0.1,0.01,10000,0.05,5,0.5,0
0.1,0.01,10000,0.05,5,0.6,0
0.1,0.01,10000,0.05,5,0.7,0
0.1,0.01,10000,0.05,5,0.8,0
0.1,0.01,10000,0.05,5,0.9,0
0.1,0.01,10000,0.1,10,0.05,1.92e-05
0.1,0.01,10000,0.1,10,0.1,1e-06
0.1,0.01,10000,0.1,10,0.2,0
0.1,0.01,10000,0.1,10,0.3,0
0.1,0.01,10000,0.1,10,0.4,0
0.1,0.01,10000,0.1,10,0.5,0
0.1,0.01,10000,0.1,10,0.6,0
0.1,0.01,10000,0.1,10,0.7,0
0.1,0.01,10000,0.1,10,0.8,0
0.1,0.01,10000,0.1,10,0.9,0
