"h","s","N","U","Ufac","x","PrFix"
0.25,0.01,100,0.02,2,0.05,0.00455
0.25,0.01,100,0.02,2,0.1,0.0041
0.25,0.01,100,0.02,2,0.2,0.00325
0.25,0.01,100,0.02,2,0.3,0.0036
0.25,0.01,100,0.02,2,0.4,0.0025
0.25,0.01,100,0.02,2,0.5,0.00295
0.25,0.01,100,0.02,2,0.6,0.00225
0.25,0.01,100,0.02,2,0.7,0.00235
0.25,0.01,100,0.02,2,0.8,0.00155
0.25,0.01,100,0.02,2,0.9,0.0015
0.25,0.01,100,0.05,5,0.05,0.0047
0.25,0.01,100,0.05,5,0.1,0.0029
0.25,0.01,100,0.05,5,0.2,0.0027
0.25,0.01,100,0.05,5,0.3,0.0018
0.25,0.01,100,0.05,5,0.4,0.0017
0.25,0.01,100,0.05,5,0.5,0.0014
0.25,0.01,100,0.05,5,0.6,0.00095
0.25,0.01,100,0.05,5,0.7,8e-04
0.25,0.01,100,0.05,5,0.8,0.00095
0.25,0.01,100,0.05,5,0.9,4e-04
0.25,0.01,100,0.1,10,0.05,0.00365
0.25,0.01,100,0.1,10,0.1,0.00225
0.25,0.01,100,0.1,10,0.2,0.00155
0.25,0.01,100,0.1,10,0.3,9e-04
0.25,0.01,100,0.1,10,0.4,3e-04
0.25,0.01,100,0.1,10,0.5,3e-04
0.25,0.01,100,0.1,10,0.6,4e-04
0.25,0.01,100,0.1,10,0.7,1e-04
0.25,0.01,100,0.1,10,0.8,1e-04
0.25,0.01,100,0.1,10,0.9,1e-04
0.25,0.01,1000,0.02,2,0.05,0.00103
0.25,0.01,1000,0.02,2,0.1,0.001145
0.25,0.01,1000,0.02,2,0.2,0.00102
0.25,0.01,1000,0.02,2,0.3,9e-04
0.25,0.01,1000,0.02,2,0.4,0.000995
0.25,0.01,1000,0.02,2,0.5,0.00075
0.25,0.01,1000,0.02,2,0.6,0.000825
0.25,0.01,1000,0.02,2,0.7,0.000765
0.25,0.01,1000,0.02,2,0.8,0.00066
0.25,0.01,1000,0.02,2,0.9,0.00065
0.25,0.01,1000,0.05,5,0.05,0.001135
0.25,0.01,1000,0.05,5,0.1,0.00097
0.25,0.01,1000,0.05,5,0.2,0.00078
0.25,0.01,1000,0.05,5,0.3,0.00059
0.25,0.01,1000,0.05,5,0.4,0.000555
0.25,0.01,1000,0.05,5,0.5,0.00036
0.25,0.01,1000,0.05,5,0.6,0.00031
0.25,0.01,1000,0.05,5,0.7,0.00032
0.25,0.01,1000,0.05,5,0.8,0.000255
0.25,0.01,1000,0.05,5,0.9,0.00016
0.25,0.01,1000,0.1,10,0.05,0.001035
0.25,0.01,1000,0.1,10,0.1,0.00074
0.25,0.01,1000,0.1,10,0.2,0.000565
0.25,0.01,1000,0.1,10,0.3,0.000315
0.25,0.01,1000,0.1,10,0.4,0.000225
0.25,0.01,1000,0.1,10,0.5,0.000155
0.25,0.01,1000,0.1,10,0.6,0.00011
0.25,0.01,1000,0.1,10,0.7,7e-05
0.25,0.01,1000,0.1,10,0.8,2.5e-05
0.25,0.01,1000,0.1,10,0.9,2e-05
0.25,0.01,10000,0.02,2,0.05,0.0003545
0.25,0.01,10000,0.02,2,0.1,0.0004525
0.25,0.01,10000,0.02,2,0.2,0.0005375
0.25,0.01,10000,0.02,2,0.3,0.0004575
0.25,0.01,10000,0.02,2,0.4,0.000348
0.25,0.01,10000,0.02,2,0.5,0.000247
0.25,0.01,10000,0.02,2,0.6,0.0002005
0.25,0.01,10000,0.02,2,0.7,0.0002075
0.25,0.01,10000,0.02,2,0.8,0.00017
0.25,0.01,10000,0.02,2,0.9,0.00016
0.25,0.01,10000,0.05,5,0.05,0.0004825
0.25,0.01,10000,0.05,5,0.1,0.0005115
0.25,0.01,10000,0.05,5,0.2,0.000263
0.25,0.01,10000,0.05,5,0.3,0.000192
0.25,0.01,10000,0.05,5,0.4,0.000134
0.25,0.01,10000,0.05,5,0.5,0.000109
0.25,0.01,10000,0.05,5,0.6,9.75e-05
0.25,0.01,10000,0.05,5,0.7,6.55e-05
0.25,0.01,10000,0.05,5,0.8,6e-05
0.25,0.01,10000,0.05,5,0.9,5.15e-05
0.25,0.01,10000,0.1,10,0.05,0.000513
0.25,0.01,10000,0.1,10,0.1,0.0002535
0.25,0.01,10000,0.1,10,0.2,0.0001295
0.25,0.01,10000,0.1,10,0.3,8.25e-05
0.25,0.01,10000,0.1,10,0.4,6.9e-05
0.25,0.01,10000,0.1,10,0.5,4.9e-05
0.25,0.01,10000,0.1,10,0.6,3.35e-05
0.25,0.01,10000,0.1,10,0.7,2.15e-05
0.25,0.01,10000,0.1,10,0.8,1.6e-05
0.25,0.01,10000,0.1,10,0.9,1.1e-05
