"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,1.42453992792127e-05
"2",0,0.1,0.1,0.1,0.1,3.31971363547665e-05
"3",0,0.05,0.05,0.1,0.1,3.88748140898205e-05
"4",0,0.1,0.1,0.05,0.05,1.01064066213552e-05
"5",0.1,0.05,0.05,0.05,0.05,0.000358014727906272
"6",0.1,0.1,0.1,0.1,0.1,0.00072685856589763
"7",0.1,0.05,0.05,0.1,0.1,0.00184092903386777
"8",0.1,0.1,0.1,0.05,0.05,-0.000175728007765689
"9",0.2,0.05,0.05,0.05,0.05,0.000773767053337746
"10",0.2,0.1,0.1,0.1,0.1,0.00156486229101593
"11",0.2,0.05,0.05,0.1,0.1,0.00398884723907799
"12",0.2,0.1,0.1,0.05,0.05,-0.00040625435026798
"13",0.3,0.05,0.05,0.05,0.05,0.00129118264697095
"14",0.3,0.1,0.1,0.1,0.1,0.00259799169156249
"15",0.3,0.05,0.05,0.1,0.1,0.00661188395503406
"16",0.3,0.1,0.1,0.05,0.05,-0.000694474581944094
"17",0.4,0.05,0.05,0.05,0.05,0.00195999556135877
"18",0.4,0.1,0.1,0.1,0.1,0.00383960044124463
"19",0.4,0.05,0.05,0.1,0.1,0.0099674379603711
"20",0.4,0.1,0.1,0.05,0.05,-0.00105893905523944
"21",0.5,0.05,0.05,0.05,0.05,0.00284934601714055
"22",0.5,0.1,0.1,0.1,0.1,0.00546922686001327
"23",0.5,0.05,0.05,0.1,0.1,0.0144127728773211
"24",0.5,0.1,0.1,0.05,0.05,-0.00152679315818307
"25",0.6,0.05,0.05,0.05,0.05,0.00410505392481406
"26",0.6,0.1,0.1,0.1,0.1,0.00773651011608872
"27",0.6,0.05,0.05,0.1,0.1,0.0205603341848624
"28",0.6,0.1,0.1,0.05,0.05,-0.00213882113989897
"29",0.7,0.05,0.05,0.05,0.05,0.00607826973444586
"30",0.7,0.1,0.1,0.1,0.1,0.0111745892537503
"31",0.7,0.05,0.05,0.1,0.1,0.0295056766060657
"32",0.7,0.1,0.1,0.05,0.05,-0.00295641125617807
"33",0.8,0.05,0.05,0.05,0.05,0.00969740888394118
"34",0.8,0.1,0.1,0.1,0.1,0.017138586516463
"35",0.8,0.05,0.05,0.1,0.1,0.0430592424134194
"36",0.8,0.1,0.1,0.05,0.05,-0.00408078713372056
"37",0.9,0.05,0.05,0.05,0.05,0.018470915698445
"38",0.9,0.1,0.1,0.1,0.1,0.029578581336766
"39",0.9,0.05,0.05,0.1,0.1,0.0613593030125777
"40",0.9,0.1,0.1,0.05,0.05,-0.00613032467928085
