"h","s","N","U","Ufac","x","PrFix"
0.01,0.01,1000,0.02,2,0.05,0.0029
0.01,0.01,1000,0.02,2,0.1,0.00508
0.01,0.01,1000,0.02,2,0.2,0.00774
0.01,0.01,1000,0.02,2,0.3,0.0103
0.01,0.01,1000,0.02,2,0.4,0.01302
0.01,0.01,1000,0.02,2,0.5,0.01386
0.01,0.01,1000,0.02,2,0.6,0.01556
0.01,0.01,1000,0.02,2,0.7,0.01666
0.01,0.01,1000,0.02,2,0.8,0.01798
0.01,0.01,1000,0.02,2,0.9,0.01822
0.01,0.01,1000,0.05,5,0.05,0.0097
0.01,0.01,1000,0.05,5,0.1,0.01522
0.01,0.01,1000,0.05,5,0.2,0.01788
0.01,0.01,1000,0.05,5,0.3,0.02092
0.01,0.01,1000,0.05,5,0.4,0.02068
0.01,0.01,1000,0.05,5,0.5,0.02132
0.01,0.01,1000,0.05,5,0.6,0.02168
0.01,0.01,1000,0.05,5,0.7,0.0228
0.01,0.01,1000,0.05,5,0.8,0.02062
0.01,0.01,1000,0.05,5,0.9,0.02104
0.01,0.01,1000,0.1,10,0.05,0.0152
0.01,0.01,1000,0.1,10,0.1,0.01486
0.01,0.01,1000,0.1,10,0.2,0.01388
0.01,0.01,1000,0.1,10,0.3,0.01164
0.01,0.01,1000,0.1,10,0.4,0.00828
0.01,0.01,1000,0.1,10,0.5,0.00654
0.01,0.01,1000,0.1,10,0.6,0.0057
0.01,0.01,1000,0.1,10,0.7,0.004
0.01,0.01,1000,0.1,10,0.8,0.0031
0.01,0.01,1000,0.1,10,0.9,0.00244
