"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,1.34173684296205e-05
"2",0,0.1,0.1,0.1,0.1,2.89298655762714e-05
"3",0,0.05,0.05,0.1,0.1,3.57109865023466e-05
"4",0,0.1,0.1,0.05,0.05,9.29106823455576e-06
"5",0.1,0.05,0.05,0.05,0.05,0.000682506271144467
"6",0.1,0.1,0.1,0.1,0.1,0.00138013009918616
"7",0.1,0.05,0.05,0.1,0.1,0.00238030782367447
"8",0.1,0.1,0.1,0.05,0.05,0.000212813703093825
"9",0.2,0.05,0.05,0.05,0.05,0.00148165384074191
"10",0.2,0.1,0.1,0.1,0.1,0.00297507808876181
"11",0.2,0.05,0.05,0.1,0.1,0.0050916399979906
"12",0.2,0.1,0.1,0.05,0.05,0.000434481822878879
"13",0.3,0.05,0.05,0.05,0.05,0.00245919590903442
"14",0.3,0.1,0.1,0.1,0.1,0.00483619376134392
"15",0.3,0.05,0.05,0.1,0.1,0.00844197208525878
"16",0.3,0.1,0.1,0.05,0.05,0.000679040938215745
"17",0.4,0.05,0.05,0.05,0.05,0.00366030349484994
"18",0.4,0.1,0.1,0.1,0.1,0.00713639238891337
"19",0.4,0.05,0.05,0.1,0.1,0.0127073232018996
"20",0.4,0.1,0.1,0.05,0.05,0.000952519239840845
"21",0.5,0.05,0.05,0.05,0.05,0.00522503926717461
"22",0.5,0.1,0.1,0.1,0.1,0.0100890372400223
"23",0.5,0.05,0.05,0.1,0.1,0.0183394766200609
"24",0.5,0.1,0.1,0.05,0.05,0.00126247101935876
"25",0.6,0.05,0.05,0.05,0.05,0.00737526785164484
"26",0.6,0.1,0.1,0.1,0.1,0.0140823580178365
"27",0.6,0.05,0.05,0.1,0.1,0.0261371443856438
"28",0.6,0.1,0.1,0.05,0.05,0.00161726839232099
"29",0.7,0.05,0.05,0.05,0.05,0.0105745052060462
"30",0.7,0.1,0.1,0.1,0.1,0.0199209157214016
"31",0.7,0.05,0.05,0.1,0.1,0.037588216699169
"32",0.7,0.1,0.1,0.05,0.05,0.00201853327232885
"33",0.8,0.05,0.05,0.05,0.05,0.0159925574604302
"34",0.8,0.1,0.1,0.1,0.1,0.0295663911660858
"35",0.8,0.05,0.05,0.1,0.1,0.0555836284904456
"36",0.8,0.1,0.1,0.05,0.05,0.00239113975035092
"37",0.9,0.05,0.05,0.05,0.05,0.027484973511211
"38",0.9,0.1,0.1,0.1,0.1,0.0484634093094083
"39",0.9,0.05,0.05,0.1,0.1,0.0871748857214761
"40",0.9,0.1,0.1,0.05,0.05,0.000978431271439844
