"","beta","q","r","u","v","hfA","sfA","hmA","smA","hfB","sfB","hmB","smB","invSelAdv"
"1",0,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025073623818176
"2",0,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012575520440159
"3",0,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000322988200820799
"4",0,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000908096993361427
"5",0.1,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250724458992045
"6",0.1,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012583017553597
"7",0.1,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000235131551727466
"8",0.1,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000668443787938703
"9",0.2,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250701697383099
"10",0.2,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0125932895585559
"11",0.2,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000179647146119726
"12",0.2,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000588479379031252
"13",0.3,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025070395344553
"14",0.3,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126076175195298
"15",0.3,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000148082314798678
"16",0.3,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000553369856975656
"17",0.4,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250739889744542
"18",0.4,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126277456003318
"19",0.4,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000129594870308536
"20",0.4,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000534860772109497
"21",0.5,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250825379655267
"22",0.5,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0126567003586269
"23",0.5,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000118239956213201
"24",0.5,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000524251115804723
"25",0.6,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00250992746408731
"26",0.6,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127014558842949
"27",0.6,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000111059671511515
"28",0.6,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000518261994683799
"29",0.7,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00251317947409929
"30",0.7,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0127751932043579
"31",0.7,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000106613548777052
"32",0.7,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000515715343623685
"33",0.8,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.0025202507736618
"34",0.8,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.012912613231663
"35",0.8,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000104419096709249
"36",0.8,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000517024015098994
"37",0.9,0.5,0,1e-05,1e-05,0.25,0.01,0.25,0.01,0.25,0.01,0.25,0.01,-0.00254116333033537
"38",0.9,0.5,0,1e-05,1e-05,0.25,0.05,0.25,0.05,0.25,0.05,0.25,0.05,-0.0132228939142309
"39",0.9,0.5,0,1e-05,1e-05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.000105729796753868
"40",0.9,0.5,0,1e-05,1e-05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,-0.000526146577715945
