"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,1.39771086295248e-05
"2",0,0.1,0.1,0.1,0.1,3.18107999271944e-05
"3",0,0.05,0.05,0.1,0.1,3.78480181877359e-05
"4",0,0.1,0.1,0.05,0.05,9.84194500375762e-06
"5",0.1,0.05,0.05,0.05,0.05,0.000452320612243761
"6",0.1,0.1,0.1,0.1,0.1,0.000917652893905452
"7",0.1,0.05,0.05,0.1,0.1,0.00199394920425261
"8",0.1,0.1,0.1,0.05,0.05,-6.06261574457611e-05
"9",0.2,0.05,0.05,0.05,0.05,0.000980086450135023
"10",0.2,0.1,0.1,0.1,0.1,0.0019900630241501
"11",0.2,0.05,0.05,0.1,0.1,0.00430390969345218
"12",0.2,0.1,0.1,0.05,0.05,-0.00015607020071194
"13",0.3,0.05,0.05,0.05,0.05,0.00163365780005453
"14",0.3,0.1,0.1,0.1,0.1,0.00325944415795846
"15",0.3,0.05,0.05,0.1,0.1,0.00713838257334035
"16",0.3,0.1,0.1,0.05,0.05,-0.00028349201772718
"17",0.4,0.05,0.05,0.05,0.05,0.00246930660952663
"18",0.4,0.1,0.1,0.1,0.1,0.00482154851863578
"19",0.4,0.05,0.05,0.1,0.1,0.0107633849369201
"20",0.4,0.1,0.1,0.05,0.05,-0.000452777386543328
"21",0.5,0.05,0.05,0.05,0.05,0.00355559760475602
"22",0.5,0.1,0.1,0.1,0.1,0.00685979339581174
"23",0.5,0.05,0.05,0.1,0.1,0.0155688770853975
"24",0.5,0.1,0.1,0.05,0.05,-0.000677931046414909
"25",0.6,0.05,0.05,0.05,0.05,0.00508832371693695
"26",0.6,0.1,0.1,0.1,0.1,0.00967615044647223
"27",0.6,0.05,0.05,0.1,0.1,0.0222353293172552
"28",0.6,0.1,0.1,0.05,0.05,-0.000978247403293871
"29",0.7,0.05,0.05,0.05,0.05,0.00745417361496342
"30",0.7,0.1,0.1,0.1,0.1,0.0139131799332166
"31",0.7,0.05,0.05,0.1,0.1,0.032010269446285
"32",0.7,0.1,0.1,0.05,0.05,-0.00137606223522703
"33",0.8,0.05,0.05,0.05,0.05,0.0116830639661531
"34",0.8,0.1,0.1,0.1,0.1,0.0212063922601703
"35",0.8,0.05,0.05,0.1,0.1,0.0472009498739199
"36",0.8,0.1,0.1,0.05,0.05,-0.00186681218234027
"37",0.9,0.05,0.05,0.05,0.05,0.0215108078449469
"38",0.9,0.1,0.1,0.1,0.1,0.0364267813846665
"39",0.9,0.05,0.05,0.1,0.1,0.0715958659558182
"40",0.9,0.1,0.1,0.05,0.05,-0.00211784693069968
