"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,1.32090637693653e-05
"2",0,0.1,0.1,0.1,0.1,2.80233939895632e-05
"3",0,0.05,0.05,0.1,0.1,3.49635046118149e-05
"4",0,0.1,0.1,0.05,0.05,9.0978986284407e-06
"5",0.1,0.05,0.05,0.05,0.05,0.000981565101502438
"6",0.1,0.1,0.1,0.1,0.1,0.00198826306149941
"7",0.1,0.05,0.05,0.1,0.1,0.00297472871530096
"8",0.1,0.1,0.1,0.05,0.05,0.000502400896373848
"9",0.2,0.05,0.05,0.05,0.05,0.00213065643808685
"10",0.2,0.1,0.1,0.1,0.1,0.00422803398706235
"11",0.2,0.05,0.05,0.1,0.1,0.00638395852812511
"12",0.2,0.1,0.1,0.05,0.05,0.00104547505290819
"13",0.3,0.05,0.05,0.05,0.05,0.00348906306833309
"14",0.3,0.1,0.1,0.1,0.1,0.0068725261569352
"15",0.3,0.05,0.05,0.1,0.1,0.0105639121468646
"16",0.3,0.1,0.1,0.05,0.05,0.00164315654605642
"17",0.4,0.05,0.05,0.05,0.05,0.00515363182329306
"18",0.4,0.1,0.1,0.1,0.1,0.0100994839054569
"19",0.4,0.05,0.05,0.1,0.1,0.0158315606483456
"20",0.4,0.1,0.1,0.05,0.05,0.00229602131988846
"21",0.5,0.05,0.05,0.05,0.05,0.0072665728142762
"22",0.5,0.1,0.1,0.1,0.1,0.0141686372182293
"23",0.5,0.05,0.05,0.1,0.1,0.0227022775961179
"24",0.5,0.1,0.1,0.05,0.05,0.00298103890366462
"25",0.6,0.05,0.05,0.05,0.05,0.010070606782255
"26",0.6,0.1,0.1,0.1,0.1,0.0195410175658136
"27",0.6,0.05,0.05,0.1,0.1,0.0320691349074919
"28",0.6,0.1,0.1,0.05,0.05,0.00365662846644004
"29",0.7,0.05,0.05,0.05,0.05,0.0140481173115524
"30",0.7,0.1,0.1,0.1,0.1,0.027137354816648
"31",0.7,0.05,0.05,0.1,0.1,0.0455618133315561
"32",0.7,0.1,0.1,0.05,0.05,0.00413590167897054
"33",0.8,0.05,0.05,0.05,0.05,0.0203469225407325
"34",0.8,0.1,0.1,0.1,0.1,0.0390804996110263
"35",0.8,0.05,0.05,0.1,0.1,0.0662790412155393
"36",0.8,0.1,0.1,0.05,0.05,0.00352709658719478
"37",0.9,0.05,0.05,0.05,0.05,0.0324017497145933
"38",0.9,0.1,0.1,0.1,0.1,0.0607029982857977
"39",0.9,0.05,0.05,0.1,0.1,0.0885847494145004
"40",0.9,0.1,0.1,0.05,0.05,0.000699668814516058
