"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,1000,0.02,2,0.05,0.00876
0.1,0.01,1000,0.02,2,0.1,0.00434
0.1,0.01,1000,0.02,2,0.2,0.00146
0.1,0.01,1000,0.02,2,0.3,0.00132
0.1,0.01,1000,0.02,2,0.4,0.00104
0.1,0.01,1000,0.02,2,0.5,0.00114
0.1,0.01,1000,0.02,2,0.6,0.00092
0.1,0.01,1000,0.02,2,0.7,0.00072
0.1,0.01,1000,0.02,2,0.8,9e-04
0.1,0.01,1000,0.02,2,0.9,0.00086
0.1,0.01,1000,0.05,5,0.05,0.00344
0.1,0.01,1000,0.05,5,0.1,0.00152
0.1,0.01,1000,0.05,5,0.2,0.00118
0.1,0.01,1000,0.05,5,0.3,0.00076
0.1,0.01,1000,0.05,5,0.4,7e-04
0.1,0.01,1000,0.05,5,0.5,0.00066
0.1,0.01,1000,0.05,5,0.6,0.00054
0.1,0.01,1000,0.05,5,0.7,0.00066
0.1,0.01,1000,0.05,5,0.8,0.00026
0.1,0.01,1000,0.05,5,0.9,3e-04
0.1,0.01,1000,0.1,10,0.05,0.00162
0.1,0.01,1000,0.1,10,0.1,0.00146
0.1,0.01,1000,0.1,10,0.2,0.00092
0.1,0.01,1000,0.1,10,0.3,0.00076
0.1,0.01,1000,0.1,10,0.4,0.00052
0.1,0.01,1000,0.1,10,0.5,0.00052
0.1,0.01,1000,0.1,10,0.6,0.00046
0.1,0.01,1000,0.1,10,0.7,0.00046
0.1,0.01,1000,0.1,10,0.8,0.00054
0.1,0.01,1000,0.1,10,0.9,6e-04
