"h","s","N","U","Ufac","x","PrFix"
0.01,0.01,10000,0.02,2,0.05,0.000434
0.01,0.01,10000,0.02,2,0.1,0.0010696
0.01,0.01,10000,0.02,2,0.2,0.003166
0.01,0.01,10000,0.02,2,0.3,0.0046632
0.01,0.01,10000,0.02,2,0.4,0.0055188
0.01,0.01,10000,0.02,2,0.5,0.0059884
0.01,0.01,10000,0.02,2,0.6,0.006316
0.01,0.01,10000,0.02,2,0.7,0.00656
0.01,0.01,10000,0.02,2,0.8,0.0068708
0.01,0.01,10000,0.02,2,0.9,0.0070656
0.01,0.01,10000,0.05,5,0.05,0.002844
0.01,0.01,10000,0.05,5,0.1,0.0048928
0.01,0.01,10000,0.05,5,0.2,0.0053864
0.01,0.01,10000,0.05,5,0.3,0.0052712
0.01,0.01,10000,0.05,5,0.4,0.0049136
0.01,0.01,10000,0.05,5,0.5,0.0046328
0.01,0.01,10000,0.05,5,0.6,0.0042304
0.01,0.01,10000,0.05,5,0.7,0.0039024
0.01,0.01,10000,0.05,5,0.8,0.0035844
0.01,0.01,10000,0.05,5,0.9,0.0032412
0.01,0.01,10000,0.1,10,0.05,0.003248
0.01,0.01,10000,0.1,10,0.1,0.0023572
0.01,0.01,10000,0.1,10,0.2,0.0010656
0.01,0.01,10000,0.1,10,0.3,0.0004924
0.01,0.01,10000,0.1,10,0.4,0.0002344
0.01,0.01,10000,0.1,10,0.5,0.000112
0.01,0.01,10000,0.1,10,0.6,5.44e-05
0.01,0.01,10000,0.1,10,0.7,2.4e-05
0.01,0.01,10000,0.1,10,0.8,1.52e-05
0.01,0.01,10000,0.1,10,0.9,4.8e-06
