"","beta","s1","s2","t1","t2","invSelAdv"
"1",0,0.05,0.05,0.05,0.05,1.36318265601606e-05
"2",0,0.1,0.1,0.1,0.1,3.02539642693492e-05
"3",0,0.05,0.05,0.1,0.1,3.6591422729771e-05
"4",0,0.1,0.1,0.05,0.05,9.51761801431338e-06
"5",0.1,0.05,0.05,0.05,0.05,0.000850760576301829
"6",0.1,0.1,0.1,0.1,0.1,0.00172466029599985
"7",0.1,0.05,0.05,0.1,0.1,0.00278734237678893
"8",0.1,0.1,0.1,0.05,0.05,0.000338986910479215
"9",0.2,0.05,0.05,0.05,0.05,0.00184330609182587
"10",0.2,0.1,0.1,0.1,0.1,0.00368115480009263
"11",0.2,0.05,0.05,0.1,0.1,0.00596833786332801
"12",0.2,0.1,0.1,0.05,0.05,0.000689212786812767
"13",0.3,0.05,0.05,0.05,0.05,0.00302643568101466
"14",0.3,0.1,0.1,0.1,0.1,0.00597194444880597
"15",0.3,0.05,0.05,0.1,0.1,0.00987145556220471
"16",0.3,0.1,0.1,0.05,0.05,0.00105586016855718
"17",0.4,0.05,0.05,0.05,0.05,0.00446673360658829
"18",0.4,0.1,0.1,0.1,0.1,0.00876906619752992
"19",0.4,0.05,0.05,0.1,0.1,0.014792010266786
"20",0.4,0.1,0.1,0.05,0.05,0.00142666057927648
"21",0.5,0.05,0.05,0.05,0.05,0.00629606773712807
"22",0.5,0.1,0.1,0.1,0.1,0.012301375779141
"23",0.5,0.05,0.05,0.1,0.1,0.0212067242343293
"24",0.5,0.1,0.1,0.05,0.05,0.00177057100059387
"25",0.6,0.05,0.05,0.05,0.05,0.0087272353246023
"26",0.6,0.1,0.1,0.1,0.1,0.0169752994338558
"27",0.6,0.05,0.05,0.1,0.1,0.0299356483592184
"28",0.6,0.1,0.1,0.05,0.05,0.00200727225384887
"29",0.7,0.05,0.05,0.05,0.05,0.0121886984440951
"30",0.7,0.1,0.1,0.1,0.1,0.0236129891612665
"31",0.7,0.05,0.05,0.1,0.1,0.042448340820289
"32",0.7,0.1,0.1,0.05,0.05,0.00190130910829963
"33",0.8,0.05,0.05,0.05,0.05,0.0177238959715097
"34",0.8,0.1,0.1,0.1,0.1,0.0341484373371453
"35",0.8,0.05,0.05,0.1,0.1,0.061389801205282
"36",0.8,0.1,0.1,0.05,0.05,0.000513822694808906
"37",0.9,0.05,0.05,0.05,0.05,0.0286425101148772
"38",0.9,0.1,0.1,0.1,0.1,0.0535354499795107
"39",0.9,0.05,0.05,0.1,0.1,0.0796119400057063
"40",0.9,0.1,0.1,0.05,0.05,-0.00232402065381009
