"h","s","U","x","N","tBen","tFix"
0.1,0.01,0.02,0.2,500,412.5,414.547826086957
0.1,0.01,0.02,0.2,1000,518.766666666667,777.825
0.1,0.01,0.02,0.2,2000,477.527027027027,1154.66666666667
0.1,0.01,0.02,0.2,3000,563.854166666667,1560.93333333333
0.1,0.01,0.02,0.2,4000,608.680597014925,2003.5
0.1,0.01,0.02,0.2,5000,514.221568627451,2260.46666666667
0.1,0.01,0.02,0.2,10000,475.001732101617,2926.56666666667
