"","beta","s","t","invSelAdv"
"1",0,0.1,0.1,1.03550103838307e-05
"2",0,0.2,0.2,2.30243957989812e-05
"3",0,0.1,0.2,2.967925957616e-05
"4",0,0.2,0.1,7.01962948287025e-06
"5",0.1,0.1,0.1,0.00137779814849358
"6",0.1,0.2,0.2,0.00267919518019311
"7",0.1,0.1,0.2,0.00369026831625047
"8",0.1,0.2,0.1,0.000891166320018441
"9",0.2,0.1,0.1,0.00293315827329561
"10",0.2,0.2,0.2,0.00563966152982548
"11",0.2,0.1,0.2,0.00789844590713698
"12",0.2,0.2,0.1,0.00184250113965727
"13",0.3,0.1,0.1,0.00478148643782785
"14",0.3,0.2,0.2,0.00908623026272456
"15",0.3,0.1,0.2,0.0129554381362144
"16",0.3,0.2,0.1,0.00289712118807762
"17",0.4,0.1,0.1,0.0070296535147271
"18",0.4,0.2,0.2,0.0131820978195362
"19",0.4,0.1,0.2,0.019175657650686
"20",0.4,0.2,0.1,0.00406623201512948
"21",0.5,0.1,0.1,0.00985050764019371
"22",0.5,0.2,0.2,0.0181845398200618
"23",0.5,0.1,0.2,0.0270466372927732
"24",0.5,0.2,0.1,0.00535452875255154
"25",0.6,0.1,0.1,0.0135497890034162
"26",0.6,0.2,0.2,0.0245282707539767
"27",0.6,0.1,0.2,0.0373545049683029
"28",0.6,0.2,0.1,0.00674215746129554
"29",0.7,0.1,0.1,0.0187377126468872
"30",0.7,0.2,0.2,0.0330253583985709
"31",0.7,0.1,0.2,0.0514125402389168
"32",0.7,0.2,0.1,0.00811664969257107
"33",0.8,0.1,0.1,0.0268567884760686
"34",0.8,0.2,0.2,0.0454083598090835
"35",0.8,0.1,0.2,0.0714636381511012
"36",0.8,0.2,0.1,0.00890213458876329
"37",0.9,0.1,0.1,0.0421237789354776
"38",0.9,0.2,0.2,0.0661299522369289
"39",0.9,0.1,0.2,0.101137273001643
"40",0.9,0.2,0.1,5.98885999703008e-05
