"h","s","N","U","Ufac","x","PrFix"
0.1,0.01,5000,0.02,2,0.05,0.008192
0.1,0.01,5000,0.02,2,0.1,0.003204
0.1,0.01,5000,0.02,2,0.2,0.00052
0.1,0.01,5000,0.02,2,0.3,0.000156
0.1,0.01,5000,0.02,2,0.4,8e-05
0.1,0.01,5000,0.02,2,0.5,4e-05
0.1,0.01,5000,0.02,2,0.6,3.2e-05
0.1,0.01,5000,0.02,2,0.7,2.4e-05
0.1,0.01,5000,0.02,2,0.8,2e-05
0.1,0.01,5000,0.02,2,0.9,2e-05
0.1,0.01,5000,0.05,5,0.05,0.001988
0.1,0.01,5000,0.05,5,0.1,0.00028
0.1,0.01,5000,0.05,5,0.2,6e-05
0.1,0.01,5000,0.05,5,0.3,2e-05
0.1,0.01,5000,0.05,5,0.4,2e-05
0.1,0.01,5000,0.05,5,0.5,2e-05
0.1,0.01,5000,0.05,5,0.6,3.6e-05
0.1,0.01,5000,0.05,5,0.7,1.2e-05
0.1,0.01,5000,0.05,5,0.8,4e-06
0.1,0.01,5000,0.05,5,0.9,1.2e-05
0.1,0.01,5000,0.1,10,0.05,0.000288
0.1,0.01,5000,0.1,10,0.1,2.8e-05
0.1,0.01,5000,0.1,10,0.2,2e-05
0.1,0.01,5000,0.1,10,0.3,2.8e-05
0.1,0.01,5000,0.1,10,0.4,2.4e-05
0.1,0.01,5000,0.1,10,0.5,8e-06
0.1,0.01,5000,0.1,10,0.6,8e-06
0.1,0.01,5000,0.1,10,0.7,8e-06
0.1,0.01,5000,0.1,10,0.8,1.6e-05
0.1,0.01,5000,0.1,10,0.9,1.2e-05
